Cuntrycd,Stkcd,Stknme,Conme,,Prefix
10,000426,兴业矿业,内蒙古兴业矿业股份有限公司,,szmb
10,000428,华天酒店,华天酒店集团股份有限公司,,szmb
10,000429,粤高速A,广东省高速公路发展股份有限公司,,szmb
10,000430,张家界,张家界旅游集团股份有限公司,,szmb
10,000488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,,szmb
10,000498,山东路桥,山东高速路桥集团股份有限公司,,szmb
10,000501,鄂武商A,武汉武商集团股份有限公司,,szmb
10,000502,绿景控股,绿景控股股份有限公司,,szmb
10,000503,海虹控股,海虹企业(集团)股份有限公司,,szmb
10,000504,*ST 生物,南华生物医药股份有限公司,,szmb
10,000505,*ST 珠江,海南珠江控股股份有限公司,,szmb
10,000506,中润资源,中润资源投资股份有限公司,,szmb
10,000507,珠海港,珠海港股份有限公司,,szmb
10,000508,琼民源A,海南民源现代农业发展股份有限公司,,szmb
10,000509,华塑控股,华塑控股股份有限公司,,szmb
10,000510,金路集团,四川金路集团股份有限公司,,szmb
10,000511,*ST 烯碳,银基烯碳新材料股份有限公司,,szmb
10,000513,丽珠集团,丽珠医药集团股份有限公司,,szmb
10,000514,渝开发,重庆渝开发股份有限公司,,szmb
10,000515,攀渝钛业,攀钢集团重庆钛业股份有限公司,,szmb
10,000516,国际医学,西安国际医学投资股份有限公司,,szmb
10,000517,荣安地产,荣安地产股份有限公司,,szmb
10,000518,四环生物,江苏四环生物股份有限公司,,szmb
10,000519,江南红箭,湖南江南红箭股份有限公司,,szmb
10,000520,长航凤凰,长航凤凰股份有限公司,,szmb
10,000521,美菱电器,合肥美菱股份有限公司,,szmb
10,000522,白云山A,广州白云山制药股份有限公司,,szmb
10,000523,广州浪奇,广州市浪奇实业股份有限公司,,szmb
10,000524,岭南控股,广州岭南集团控股股份有限公司,,szmb
10,000525,红太阳,南京红太阳股份有限公司,,szmb
10,000526,紫光学大,厦门紫光学大股份有限公司,,szmb
10,000527,美的电器,广东美的电器股份有限公司,,szmb
10,000528,柳工,广西柳工机械股份有限公司,,szmb
10,000529,广弘控股,广东广弘控股股份有限公司,,szmb
10,000530,大冷股份,大连冷冻机股份有限公司,,szmb
10,000531,穗恒运A,广州恒运企业集团股份有限公司,,szmb
10,000532,力合股份,力合股份有限公司,,szmb
10,000533,万家乐,广东万家乐股份有限公司,,szmb
10,000534,万泽股份,万泽实业股份有限公司,,szmb
10,000535,*ST 猴王,猴王股份有限公司,,szmb
10,000536,华映科技,华映科技(集团)股份有限公司,,szmb
10,000537,广宇发展,天津广宇发展股份有限公司,,szmb
10,000538,云南白药,云南白药集团股份有限公司,,szmb
10,000539,粤电力A,广东电力发展股份有限公司,,szmb
10,000540,中天城投,中天城投集团股份有限公司,,szmb
